-11.04,-69.9,-71.04,45.96,-11.58,-96.1,-55.7,32.86,13.55,-1.007
-16.51,-70.65,42.52,37.72,78.59,18.53,-74.08,-94.11,56.04, 96.7
94.23,-99.38,-96.01,-94.04,  -97,23.59,-66.54,74.51,-54.78,-64.11
-28.99,-86.71,-47.34,-92.46,-54.23,51.87,94.09,-62.31,-61.98,-4.291
-15.41,-59.34,53.59,-23.01,14.71,-69.45,-95.29,-80.12,78.29,13.97
-20.62,-54.12,9.961,-66.74,-79.93,-84.71,-18.88,13.83,0.6023,-19.79
-0.7629,-64.66,-37.48,-69.99,6.342,64.47,-88.65,-57.31,69.74, 56.5
40.29,-34.35,-23.02,97.61,36.79,-30.83,-98.29,18.02,-54.08,67.02
-71.62,-34.03,-24.61,-57.69,35.34,-45.22,29.71,-12.79,85.69,-95.88
-76.26,-0.8397,-51.25,61.64,71.66,55.43,-39.92,15.51,-4.906,-68.63
